"","X","FINAL_TREAT","TIME_TREAT","Study_DOI","CO2_mean","HCO3_mean","CO3_mean","Temp_mean","DIC_mean","pHT_mean","Temp_sd","CO2_sd","CO3_sd","HCO3_sd","DIC_sd","pHT_sd","ocean_relevant","scenario","biome","loc","type","period","miss_co2_dir","miss_hco3_dir","miss_co3_dir","miss_pH_dir","miss_temp_dir","miss_cooccurrence","miss_high","miss_low","dir","category"
"1",1,"+Fe Acidified-1, Temp2","No Comment","10.1594/PANGAEA.957342",19.59,1921.32,148.89,24.2,2089.8,7.86799087585853,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","SP_STPS","SP","STPS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"2",2,"+Fe Acidified-1, Temp3","No Comment","10.1594/PANGAEA.957342",19.59,1921.32,148.89,28,2089.8,7.80772017740098,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"3",3,"+Fe Acidified-2, Temp2","No Comment","10.1594/PANGAEA.957342",20.94,1929.66,140.5,24.2,2091.1,7.84092057932176,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","SP_STPS","SP","STPS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"4",4,"+Fe Acidified-2, Temp3","No Comment","10.1594/PANGAEA.957342",20.94,1929.66,140.5,28,2091.1,7.78064988086421,NA,NA,NA,NA,NA,NA,TRUE,"ssp585","Pac_EQU_E","Pac","EQU","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"5",5,"+Fe Acidified-3, Temp2","No Comment","10.1594/PANGAEA.957342",21.08,1929.02,139.5,24.2,2089.6,7.83796252670749,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","SP_STPS","SP","STPS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"6",6,"+Fe Acidified-3, Temp3","No Comment","10.1594/PANGAEA.957342",21.08,1929.02,139.5,28,2089.6,7.77769182824994,NA,NA,NA,NA,NA,NA,TRUE,"ssp585","Pac_EQU_E","Pac","EQU","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"7",7,"+Fe Ambient-1, Temp2","No Comment","10.1594/PANGAEA.957342",11.41,1730.05,207.34,23,1948.8,8.07659600847121,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NP_STPS","NP","STPS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"8",8,"+Fe Ambient-1, Temp3","No Comment","10.1594/PANGAEA.957342",11.41,1730.05,207.34,28,1948.8,7.99707879044327,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"9",9,"+Fe Ambient-2, Temp2","No Comment","10.1594/PANGAEA.957342",11.25,1727.65,209.71,23.1,1948.61,8.0805270970209,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NP_STPS","NP","STPS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"10",10,"+Fe Ambient-2, Temp3","No Comment","10.1594/PANGAEA.957342",11.25,1727.65,209.71,28,1948.61,8.00261772680775,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
