"","FINAL_TREAT","TIME_TREAT","Study_DOI","CO2_mean","HCO3_mean","CO3_mean","Temp_mean","DIC_mean","pHT_mean","Temp_sd","CO2_sd","CO3_sd","HCO3_sd","DIC_sd","pHT_sd"
"1","+Fe Acidified-1, Temp2","No Comment","10.1594/PANGAEA.957342",19.59,1921.32,148.89,24.2,2089.8,7.86799087585853,NA,NA,NA,NA,NA,NA
"2","+Fe Acidified-1, Temp3","No Comment","10.1594/PANGAEA.957342",19.59,1921.32,148.89,28,2089.8,7.80772017740098,NA,NA,NA,NA,NA,NA
"3","+Fe Acidified-2, Temp2","No Comment","10.1594/PANGAEA.957342",20.94,1929.66,140.5,24.2,2091.1,7.84092057932176,NA,NA,NA,NA,NA,NA
"4","+Fe Acidified-2, Temp3","No Comment","10.1594/PANGAEA.957342",20.94,1929.66,140.5,28,2091.1,7.78064988086421,NA,NA,NA,NA,NA,NA
"5","+Fe Acidified-3, Temp2","No Comment","10.1594/PANGAEA.957342",21.08,1929.02,139.5,24.2,2089.6,7.83796252670749,NA,NA,NA,NA,NA,NA
"6","+Fe Acidified-3, Temp3","No Comment","10.1594/PANGAEA.957342",21.08,1929.02,139.5,28,2089.6,7.77769182824994,NA,NA,NA,NA,NA,NA
"7","+Fe Ambient-1, Temp2","No Comment","10.1594/PANGAEA.957342",11.41,1730.05,207.34,23,1948.8,8.07659600847121,NA,NA,NA,NA,NA,NA
"8","+Fe Ambient-1, Temp3","No Comment","10.1594/PANGAEA.957342",11.41,1730.05,207.34,28,1948.8,7.99707879044327,NA,NA,NA,NA,NA,NA
"9","+Fe Ambient-2, Temp2","No Comment","10.1594/PANGAEA.957342",11.25,1727.65,209.71,23.1,1948.61,8.0805270970209,NA,NA,NA,NA,NA,NA
"10","+Fe Ambient-2, Temp3","No Comment","10.1594/PANGAEA.957342",11.25,1727.65,209.71,28,1948.61,8.00261772680775,NA,NA,NA,NA,NA,NA
"11","+Fe Ambient-3, Temp2","No Comment","10.1594/PANGAEA.957342",11.42,1725.86,206.12,23.1,1943.4,8.07347829177373,NA,NA,NA,NA,NA,NA
"12","+Fe Ambient-3, Temp3","No Comment","10.1594/PANGAEA.957342",11.42,1725.86,206.12,28,1943.4,7.99556892156058,NA,NA,NA,NA,NA,NA
"13","+Fe+P Acidified-1, Temp2","No Comment","10.1594/PANGAEA.957342",19.09,1910.27,151.04,24.3,2080.4,7.87512307194175,NA,NA,NA,NA,NA,NA
"14","+Fe+P Acidified-1, Temp3","No Comment","10.1594/PANGAEA.957342",19.09,1910.27,151.04,28,2080.4,7.81645157268631,NA,NA,NA,NA,NA,NA
"15","+Fe+P Acidified-2, Temp2","No Comment","10.1594/PANGAEA.957342",20.57,1921.14,141.79,24.3,2083.5,7.84521243829235,NA,NA,NA,NA,NA,NA
"16","+Fe+P Acidified-2, Temp3","No Comment","10.1594/PANGAEA.957342",20.57,1921.14,141.79,28,2083.5,7.78654093903692,NA,NA,NA,NA,NA,NA
"17","+Fe+P Acidified-3, Temp2","No Comment","10.1594/PANGAEA.957342",20.21,1915.17,143.42,24.3,2078.8,7.85152823832538,NA,NA,NA,NA,NA,NA
"18","+Fe+P Acidified-3, Temp3","No Comment","10.1594/PANGAEA.957342",20.21,1915.17,143.42,28,2078.8,7.79285673906994,NA,NA,NA,NA,NA,NA
"19","+Fe+P Ambient-1, Temp2","No Comment","10.1594/PANGAEA.957342",11.59,1722.99,202.43,23.2,1937.01,8.06474871575782,NA,NA,NA,NA,NA,NA
"20","+Fe+P Ambient-1, Temp3","No Comment","10.1594/PANGAEA.957342",11.59,1722.99,202.43,28,1937.01,7.98844646929508,NA,NA,NA,NA,NA,NA
"21","+Fe+P Ambient-2, Temp2","No Comment","10.1594/PANGAEA.957342",11.75,1723.97,199.88,23.2,1935.6,8.05899623419379,NA,NA,NA,NA,NA,NA
"22","+Fe+P Ambient-2, Temp3","No Comment","10.1594/PANGAEA.957342",11.75,1723.97,199.88,28,1935.6,7.98269398773105,NA,NA,NA,NA,NA,NA
"23","+Fe+P Ambient-3, Temp2","No Comment","10.1594/PANGAEA.957342",12,1726.9,196.3,23.3,1935.2,8.04880330731666,NA,NA,NA,NA,NA,NA
"24","+Fe+P Ambient-3, Temp3","No Comment","10.1594/PANGAEA.957342",12,1726.9,196.3,28,1935.2,7.97410746115088,NA,NA,NA,NA,NA,NA
"25","+P Acidified-1, Temp2","No Comment","10.1594/PANGAEA.957342",21.73,1928.79,135.29,24,2085.81,7.82790635172086,NA,NA,NA,NA,NA,NA
"26","+P Acidified-1, Temp3","No Comment","10.1594/PANGAEA.957342",21.73,1928.79,135.29,28,2085.81,7.7644351021018,NA,NA,NA,NA,NA,NA
"27","+P Acidified-2, Temp2","No Comment","10.1594/PANGAEA.957342",21.25,1919.56,136.99,24,2077.8,7.83541277486715,NA,NA,NA,NA,NA,NA
"28","+P Acidified-2, Temp3","No Comment","10.1594/PANGAEA.957342",21.25,1919.56,136.99,28,2077.8,7.77194152524809,NA,NA,NA,NA,NA,NA
"29","+P Acidified-3, Temp2","No Comment","10.1594/PANGAEA.957342",21.73,1931.25,135.62,24.1,2088.6,7.82681020937119,NA,NA,NA,NA,NA,NA
"30","+P Acidified-3, Temp3","No Comment","10.1594/PANGAEA.957342",21.73,1931.25,135.62,28,2088.6,7.76493959432695,NA,NA,NA,NA,NA,NA
"31","+P Ambient-1, Temp2","No Comment","10.1594/PANGAEA.957342",11.5,1728.02,205.08,23.1,1944.6,8.07073826536609,NA,NA,NA,NA,NA,NA
"32","+P Ambient-1, Temp3","No Comment","10.1594/PANGAEA.957342",11.5,1728.02,205.08,28,1944.6,7.99282889515294,NA,NA,NA,NA,NA,NA
"33","+P Ambient-2, Temp2","No Comment","10.1594/PANGAEA.957342",11.79,1731.05,200.86,23.1,1943.7,8.06094756731789,NA,NA,NA,NA,NA,NA
"34","+P Ambient-2, Temp3","No Comment","10.1594/PANGAEA.957342",11.79,1731.05,200.86,28,1943.7,7.98303819710474,NA,NA,NA,NA,NA,NA
"35","+P Ambient-3, Temp2","No Comment","10.1594/PANGAEA.957342",11.28,1716.13,206.29,23.1,1933.7,8.07629171376859,NA,NA,NA,NA,NA,NA
"36","+P Ambient-3, Temp3","No Comment","10.1594/PANGAEA.957342",11.28,1716.13,206.29,28,1933.7,7.99838234355544,NA,NA,NA,NA,NA,NA
"37","0.6-1400","No Comment","10.1594/PANGAEA.944854",81.0574074074074,2388.3462962963,37.782962962963,2,2507.18666666667,7.55188281201599,0,0.00525693138963618,0.00465321626967983,0.00926039879026627,0.00960768922829649,5.18367172347969e-05
"38","0.6-400","No Comment","10.1594/PANGAEA.944854",24.3346875,2216.7640625,108.410625,2,2349.509375,8.04203647399185,0,0.00502967385101926,0.010059347702035,0.0150890215531561,0.0100593477022565,4.32542652126807e-05
"39","0.6-900","No Comment","10.1594/PANGAEA.944854",53.3714035087719,2325.60210526316,54.4082456140351,2,2433.38175438596,7.72181339506717,0,0.014446773798429,0.0145311005159806,0.0148488626433397,0.0145311005156364,0.000118747914251662
"40","0.66","No Comment","10.1594/PANGAEA.834251",0.66,727.7,606.64,25,1335,8.88693016017267,NA,NA,NA,NA,NA,NA
"41","0.66","No Comment","10.1594/PANGAEA.835214",0.66,727.92,606.51,25,1335.09,8.88670580590438,NA,NA,NA,NA,NA,NA
