id,period,mean_delta,areaW_mean_delta,sd_delta,min_delta,max_delta,se_delta,n_delta,scenario,var,biome,loc,type,mean_abs,areaW_mean_abs,sd_abs,min_abs,max_abs,se_abs,n_abs
ssp245_aqueous_Atl_EQU,1850s,-1.989160715,-1.989094499,0.154781685,-2.821507159,-0.790120615,0.00082829,34920,ssp245,aqueous,Atl_EQU,Atl,EQU,8.285619224,8.285825217,0.466266421,4.545960006,11.16715025,0.002495152,34920
ssp245_aqueous_Atl_EQU,2090s,5.177723395,5.177773093,0.335213993,2.812638272,6.438487215,0.001793845,34920,ssp245,aqueous,Atl_EQU,Atl,EQU,15.45250333,15.45269281,0.775699067,8.703083174,18.5605188,0.004151033,34920
ssp245_aqueous_IND_STPS,1850s,-2.234540668,-2.216757585,0.314879051,-3.879194908,-1.276413053,0.000740034,181044,ssp245,aqueous,IND_STPS,IND,STPS,8.150730105,8.119960668,0.651199348,6.093515663,11.57175699,0.00153046,181044
ssp245_aqueous_IND_STPS,2090s,5.578101576,5.541353367,0.679545261,4.025105311,12.12348462,0.001597079,181044,ssp245,aqueous,IND_STPS,IND,STPS,15.96337235,15.87807162,1.522514921,12.01802682,22.89640095,0.00357824,181044
ssp245_aqueous_NA_SPSS,1850s,-3.559859548,-3.505816864,0.817302156,-7.891644064,1.66949302,0.002703514,91392,ssp245,aqueous,NA_SPSS,NA,SPSS,12.50980301,12.42498099,1.557508714,6.933778935,25.59093701,0.005152006,91392
ssp245_aqueous_NA_SPSS,2090s,10.82690995,10.68382472,2.524687956,4.674301415,18.40314354,0.008351291,91392,ssp245,aqueous,NA_SPSS,NA,SPSS,26.89657251,26.61462258,3.506269443,15.58066131,43.95354171,0.011598216,91392
ssp245_aqueous_NA_STPS,1850s,-2.262470155,-2.256199448,0.179822029,-3.292793754,-1.5580016,0.000598331,90324,ssp245,aqueous,NA_STPS,NA,STPS,8.370987934,8.349682195,0.601572113,7.012642777,11.27194808,0.002001641,90324
ssp245_aqueous_NA_STPS,2090s,5.659685003,5.635183646,0.55834812,4.406057157,8.36456658,0.001857819,90324,ssp245,aqueous,NA_STPS,NA,STPS,16.29314309,16.24106529,1.190317005,13.91365352,21.51041339,0.003960601,90324
ssp245_aqueous_NA_STSS,1850s,-2.548243821,-2.533828656,0.442289567,-4.907644989,-1.007161375,0.002281056,37596,ssp245,aqueous,NA_STSS,NA,STSS,9.651561816,9.602729433,1.160448241,7.396695019,14.08793467,0.005984873,37596
ssp245_aqueous_NA_STSS,2090s,7.456711854,7.394178968,1.499388025,4.3574696,14.0729815,0.007732915,37596,ssp245,aqueous,NA_STSS,NA,STSS,19.65651749,19.53073706,2.470977994,14.48831051,29.77051399,0.012743774,37596
ssp245_aqueous_NP_SPSS,1850s,-3.705382491,-3.671988856,0.699750407,-6.544059325,0.949602134,0.002323534,90696,ssp245,aqueous,NP_SPSS,NP,SPSS,12.92175171,12.77527321,2.368523674,7.616319179,25.08225419,0.007864727,90696
ssp245_aqueous_NP_SPSS,2090s,8.012660243,7.976893666,1.434428945,2.822718514,15.06283529,0.004763048,90696,ssp245,aqueous,NP_SPSS,NP,SPSS,24.63979445,24.42415573,4.027614337,15.14726366,41.93949089,0.013373769,90696
ssp245_aqueous_NP_STPS,1850s,-2.263258188,-2.245103417,0.362009106,-3.991856414,-1.408152939,0.000789405,210300,ssp245,aqueous,NP_STPS,NP,STPS,8.315036961,8.28438276,0.834249021,6.456868847,11.69840647,0.001819182,210300
ssp245_aqueous_NP_STPS,2090s,5.567564374,5.537694608,0.628579232,3.769000502,8.459853313,0.001370694,210300,ssp245,aqueous,NP_STPS,NP,STPS,16.14585952,16.06718078,1.664349509,13.45779948,23.21622503,0.003629317,210300
ssp245_aqueous_NP_STSS,1850s,-2.728488535,-2.715755706,0.439377698,-4.737436772,-1.842068661,0.002181347,40572,ssp245,aqueous,NP_STSS,NP,STSS,9.187109599,9.155615448,1.063441065,7.238597311,12.68021321,0.00527959,40572
ssp245_aqueous_NP_STSS,2090s,6.649521303,6.628745767,0.749025469,4.916771414,11.02598719,0.003718633,40572,ssp245,aqueous,NP_STSS,NP,STSS,18.56511944,18.50011692,2.102365282,14.63275522,26.51644218,0.010437463,40572
ssp245_aqueous_Pac_EQU_E,1850s,-1.924350182,-1.924396419,0.174482354,-2.916504027,0.613625006,0.000649068,72264,ssp245,aqueous,Pac_EQU_E,Pac,EQU,9.494703455,9.495617856,0.905441488,6.224543045,15.29382874,0.003368212,72264
ssp245_aqueous_Pac_EQU_E,2090s,5.065472216,5.065537375,0.519910346,3.457672998,8.213725787,0.001934049,72264,ssp245,aqueous,Pac_EQU_E,Pac,EQU,16.48452585,16.48555165,1.162058989,12.75751342,21.95322133,0.00432282,72264
ssp245_aqueous_Pac_EQU_W,1850s,-1.838222683,-1.838018973,0.119445397,-2.177671922,-1.312176548,0.000522019,52356,ssp245,aqueous,Pac_EQU_W,Pac,EQU,8.013447864,8.015568892,0.562058029,6.560841826,9.459301809,0.002456393,52356
ssp245_aqueous_Pac_EQU_W,2090s,4.804448583,4.80395924,0.375331446,3.460909729,5.821207969,0.001640332,52356,ssp245,aqueous,Pac_EQU_W,Pac,EQU,14.65611913,14.65754711,0.62870683,13.11730239,16.46083578,0.002747672,52356
ssp245_aqueous_SA_STPS,1850s,-2.389112242,-2.37760932,0.250072067,-3.642911824,-0.729371833,0.000818068,93444,ssp245,aqueous,SA_STPS,SA,STPS,8.884310462,8.861183192,0.609625315,6.888744589,15.98993984,0.001994285,93444
ssp245_aqueous_SA_STPS,2090s,5.991546105,5.959422786,0.657807753,3.466931773,9.531520285,0.002151906,93444,ssp245,aqueous,SA_STPS,SA,STPS,17.26496881,17.1982153,1.315998234,14.08411244,26.25231017,0.004305064,93444
ssp245_aqueous_SO_SPSS,1850s,-4.173203779,-4.153492304,0.374924282,-5.633280576,-1.529991005,0.000737104,258720,ssp245,aqueous,SO_SPSS,SO,SPSS,16.01178682,15.91194157,1.544141178,8.708069286,21.90634469,0.003035792,258720
ssp245_aqueous_SO_SPSS,2090s,10.27280018,10.1819714,1.170056589,4.831184826,14.76930419,0.002300339,258720,ssp245,aqueous,SO_SPSS,SO,SPSS,30.45779077,30.24740527,2.796407394,17.07194644,39.69817805,0.005497756,258720
ssp245_aqueous_SO_STSS,1850s,-3.109868819,-3.088570228,0.53458109,-9.955513888,-0.758927711,0.001224687,190536,ssp245,aqueous,SO_STSS,SO,STSS,11.71380562,11.62916563,1.688597966,7.491727119,34.042702,0.003868457,190536
ssp245_aqueous_SO_STSS,2090s,7.875530806,7.831109217,1.081652694,3.913824574,18.09459507,0.002477989,190536,ssp245,aqueous,SO_STSS,SO,STSS,22.69920525,22.54884508,3.033996982,15.06982065,43.95595894,0.006950669,190536
ssp245_aqueous_SP_STPS,1850s,-2.505374007,-2.458871548,0.519103986,-6.77579685,-0.082847571,0.000968282,287412,ssp245,aqueous,SP_STPS,SP,STPS,9.295364091,9.179462824,1.56403526,6.839335992,21.978985,0.002917387,287412
ssp245_aqueous_SP_STPS,2090s,6.259196172,6.155473487,1.146622157,3.015366108,17.42685609,0.002138789,287412,ssp245,aqueous,SP_STPS,SP,STPS,18.05993427,17.79380786,2.975620501,13.85951891,38.88539898,0.00555041,287412
ssp245_bicarbonate_Atl_EQU,1850s,-75.90000787,-75.88968454,14.16427219,-198.8447628,46.70773101,0.075797895,34920,ssp245,bicarbonate,Atl_EQU,Atl,EQU,1664.711191,1664.708307,59.80538619,1146.908275,1807.314629,0.320039204,34920
ssp245_bicarbonate_Atl_EQU,2090s,139.4349095,139.4272301,14.10054788,1.368987484,217.7136171,0.075456885,34920,ssp245,bicarbonate,Atl_EQU,Atl,EQU,1880.046108,1880.025222,68.42293204,1185.116637,1979.525018,0.366154658,34920
ssp245_bicarbonate_IND_STPS,1850s,-81.75351175,-81.53042904,8.85901071,-114.8970769,-33.47465847,0.020820596,181044,ssp245,bicarbonate,IND_STPS,IND,STPS,1660.529006,1657.733034,60.31013873,1349.209978,1870.204765,0.141741903,181044
ssp245_bicarbonate_IND_STPS,2090s,127.2251462,127.1465867,15.8800453,50.17310699,245.230241,0.03732155,181044,ssp245,bicarbonate,IND_STPS,IND,STPS,1869.507664,1866.41005,71.1316211,1511.638248,2071.477834,0.167174733,181044
ssp245_bicarbonate_NA_SPSS,1850s,-67.17864897,-66.91422189,11.29044306,-146.7795885,80.37715584,0.037347101,91392,ssp245,bicarbonate,NA_SPSS,NA,SPSS,1826.829711,1820.978564,121.432198,501.1456194,1994.665037,0.40167959,91392
ssp245_bicarbonate_NA_SPSS,2090s,75.14655224,73.40716107,36.84015161,-96.79731924,224.2820351,0.121861724,91392,ssp245,bicarbonate,NA_SPSS,NA,SPSS,1969.154913,1961.299947,135.6288608,520.0345719,2162.347934,0.448640032,91392
ssp245_bicarbonate_NA_STPS,1850s,-92.67229406,-92.76403677,6.535643441,-136.3291319,-46.98827371,0.02174637,90324,ssp245,bicarbonate,NA_STPS,NA,STPS,1723.023669,1721.267449,50.23599161,1489.123753,1868.621961,0.167152701,90324
ssp245_bicarbonate_NA_STPS,2090s,157.1088417,157.2450176,19.02658329,65.51221793,193.5104347,0.063308092,90324,ssp245,bicarbonate,NA_STPS,NA,STPS,1972.804805,1971.276503,55.10854804,1735.61429,2104.437071,0.183365399,90324
ssp245_bicarbonate_NA_STSS,1850s,-79.43182376,-79.7766873,8.704940869,-103.7098229,-24.88585278,0.044894693,37596,ssp245,bicarbonate,NA_STSS,NA,STSS,1774.209522,1773.054499,63.2798103,1620.393815,1926.563272,0.326358064,37596
ssp245_bicarbonate_NA_STSS,2090s,123.581901,125.1781844,37.23727559,-0.771740753,194.3715634,0.192046801,37596,ssp245,bicarbonate,NA_STSS,NA,STSS,1977.223247,1978.009371,66.26262139,1805.098971,2130.051501,0.341741556,37596
ssp245_bicarbonate_NP_SPSS,1850s,-57.73953426,-58.51223537,13.12461636,-107.0943835,46.40989392,0.043580534,90696,ssp245,bicarbonate,NP_SPSS,NP,SPSS,1795.444875,1792.712047,76.2792282,1399.87369,2017.23488,0.253286605,90696
ssp245_bicarbonate_NP_SPSS,2090s,65.13718965,66.57682696,21.15770096,-51.01066603,164.2148497,0.070254542,90696,ssp245,bicarbonate,NP_SPSS,NP,SPSS,1918.321599,1917.801109,78.71080547,1414.803006,2108.2998,0.261360703,90696
ssp245_bicarbonate_NP_STPS,1850s,-78.8004074,-78.62063728,9.922065538,-116.062852,-40.57911017,0.021636273,210300,ssp245,bicarbonate,NP_STPS,NP,STPS,1652.951876,1650.849228,57.84540271,1382.686633,1812.775849,0.12613895,210300
ssp245_bicarbonate_NP_STPS,2090s,117.5763869,117.8509391,20.56049615,49.58814971,166.7746828,0.044834668,210300,ssp245,bicarbonate,NP_STPS,NP,STPS,1849.32867,1847.320805,66.32284437,1529.829664,2026.11732,0.144625045,210300
ssp245_bicarbonate_NP_STSS,1850s,-79.06538975,-79.22720377,8.770978517,-103.6037715,-39.20392993,0.043544653,40572,ssp245,bicarbonate,NP_STSS,NP,STSS,1703.119617,1701.920992,58.37632871,1523.897724,1882.252478,0.289816809,40572
ssp245_bicarbonate_NP_STSS,2090s,107.120017,107.5756952,18.73758526,51.44258183,155.6141295,0.093025157,40572,ssp245,bicarbonate,NP_STSS,NP,STSS,1889.305024,1888.723891,61.66465341,1672.820542,2058.35799,0.306142121,40572
ssp245_bicarbonate_Pac_EQU_E,1850s,-59.60353194,-59.59919447,8.525604083,-98.74112351,25.30109363,0.03171496,72264,ssp245,bicarbonate,Pac_EQU_E,Pac,EQU,1707.107778,1707.165333,67.40089226,1307.950696,1897.277568,0.250729045,72264
ssp245_bicarbonate_Pac_EQU_E,2090s,103.0904626,103.0771012,19.82144301,32.93107846,180.5313032,0.073735099,72264,ssp245,bicarbonate,Pac_EQU_E,Pac,EQU,1869.801772,1869.841629,62.46476529,1503.061559,2015.77136,0.23236682,72264
ssp245_bicarbonate_Pac_EQU_W,1850s,-65.82789109,-65.802095,9.346422143,-114.0638099,-23.710592,0.040847188,52356,ssp245,bicarbonate,Pac_EQU_W,Pac,EQU,1630.820357,1630.955623,42.80575383,1469.749806,1746.698355,0.187076364,52356
ssp245_bicarbonate_Pac_EQU_W,2090s,105.9214561,105.863666,26.65161404,32.87158451,187.3156664,0.116477029,52356,ssp245,bicarbonate,Pac_EQU_W,Pac,EQU,1802.569704,1802.621384,41.7276757,1651.674545,1904.690943,0.182364779,52356
ssp245_bicarbonate_SA_STPS,1850s,-82.42544467,-82.51672431,8.324865196,-132.3659032,-13.43447186,0.027233377,93444,ssp245,bicarbonate,SA_STPS,SA,STPS,1737.009716,1736.038311,49.13178694,1447.112833,1898.727184,0.160726264,93444
ssp245_bicarbonate_SA_STPS,2090s,136.6707843,137.0265293,14.47602109,64.88417943,193.469308,0.047355835,93444,ssp245,bicarbonate,SA_STPS,SA,STPS,1956.105945,1955.581564,51.42333929,1705.09725,2089.599258,0.168222687,93444
ssp245_bicarbonate_SO_SPSS,1850s,-51.29223131,-51.52660848,7.05099965,-87.95724511,6.986707979,0.013862313,258720,ssp245,bicarbonate,SO_SPSS,SO,SPSS,1901.278442,1899.474975,51.48593964,1438.175957,2078.232921,0.101221704,258720
ssp245_bicarbonate_SO_SPSS,2090s,72.46920373,72.77613926,11.53750521,29.71792845,150.1972439,0.022682813,258720,ssp245,bicarbonate,SO_SPSS,SO,SPSS,2025.039877,2023.777723,56.33189768,1560.676177,2160.566375,0.11074889,258720
ssp245_bicarbonate_SO_STSS,1850s,-64.62947627,-64.99610007,9.892821034,-135.7407287,29.7929232,0.022663743,190536,ssp245,bicarbonate,SO_STSS,SO,STSS,1813.149776,1811.096902,60.06877813,1350.538917,2044.210569,0.137613258,190536
ssp245_bicarbonate_SO_STSS,2090s,103.4699544,104.3004514,20.6337478,-2.702428443,242.8055267,0.047270435,190536,ssp245,bicarbonate,SO_STSS,SO,STSS,1981.249207,1980.393454,58.20774704,1475.224777,2104.858193,0.133349769,190536
ssp245_bicarbonate_SP_STPS,1850s,-76.07197705,-76.26395441,12.47124624,-119.1249389,-3.053799035,0.023262555,287412,ssp245,bicarbonate,SP_STPS,SP,STPS,1728.142866,1723.880831,73.16227926,1496.444697,1969.428377,0.136469242,287412
ssp245_bicarbonate_SP_STPS,2090s,123.4771405,124.4543461,22.69787456,33.04571395,185.6869664,0.042338234,287412,ssp245,bicarbonate,SP_STPS,SP,STPS,1927.691984,1924.599132,65.44465497,1679.564447,2089.93008,0.122073595,287412
ssp245_carbonate_Atl_EQU,1850s,28.27909146,28.27847313,2.74475179,5.366548468,41.51287919,0.014688111,34920,ssp245,carbonate,Atl_EQU,Atl,EQU,266.1871565,266.1790057,16.64702701,182.9876307,300.6634292,0.089083971,34920
ssp245_carbonate_Atl_EQU,2090s,-45.02145649,-45.02079636,3.782364115,-55.98075127,-28.15952227,0.020240732,34920,ssp245,carbonate,Atl_EQU,Atl,EQU,192.8866086,192.8797362,14.1292067,108.5384875,217.8648417,0.075610248,34920
ssp245_carbonate_IND_STPS,1850s,31.40176096,31.34365421,3.383169604,18.32491806,45.25181899,0.007951182,181044,ssp245,carbonate,IND_STPS,IND,STPS,255.8526119,256.8434027,22.66070138,160.2554868,311.1319859,0.053257562,181044
ssp245_carbonate_IND_STPS,2090s,-50.33593476,-50.4296838,4.074567186,-82.84105611,-32.6979974,0.009576116,181044,ssp245,carbonate,IND_STPS,IND,STPS,174.1149161,175.0700647,19.48824549,99.58702889,230.3744509,0.045801603,181044
ssp245_carbonate_NA_SPSS,1850s,22.76309591,22.84319752,4.882524643,-4.272205804,67.5608275,0.016150663,91392,ssp245,carbonate,NA_SPSS,NA,SPSS,155.5383654,157.677951,32.94973451,3.847862145,291.2518644,0.108992805,91392
ssp245_carbonate_NA_SPSS,2090s,-47.192601,-48.26185114,21.23760067,-120.6676724,0.341989038,0.070250814,91392,ssp245,carbonate,NA_SPSS,NA,SPSS,85.58266849,86.5729023,17.67614856,2.157421338,202.422881,0.058470062,91392
ssp245_carbonate_NA_STPS,1850s,30.56865926,30.56819369,3.463233827,15.03567667,39.74073405,0.011523389,90324,ssp245,carbonate,NA_STPS,NA,STPS,274.0491396,274.6651562,24.16237324,179.6520547,318.2050081,0.08039666,90324
ssp245_carbonate_NA_STPS,2090s,-47.98985451,-47.92395653,7.026872411,-82.28176056,-31.95628536,0.02338086,90324,ssp245,carbonate,NA_STPS,NA,STPS,195.4906259,196.1730059,20.50471205,112.6146993,229.360196,0.068226343,90324
ssp245_carbonate_NA_STSS,1850s,27.73898693,27.84062518,4.333559254,-1.965238157,45.80559108,0.022349814,37596,ssp245,carbonate,NA_STSS,NA,STSS,225.5003973,227.0314219,35.21915608,118.1633964,307.1949001,0.181638591,37596
ssp245_carbonate_NA_STSS,2090s,-54.5272817,-54.3752223,17.67540041,-110.0458983,-4.512735462,0.091158767,37596,ssp245,carbonate,NA_STSS,NA,STSS,143.2341287,144.8155744,30.25000293,72.97530319,222.8414854,0.156010777,37596
ssp245_carbonate_NP_SPSS,1850s,24.68291462,24.93757013,4.93663543,-9.158996719,44.54402281,0.01639219,90696,ssp245,carbonate,NP_SPSS,NP,SPSS,147.3695,149.2332531,27.19613159,81.8579579,248.1391349,0.090305264,90696
ssp245_carbonate_NP_SPSS,2090s,-31.14621303,-31.60549562,7.790436531,-65.95066522,-7.023332717,0.02586829,90696,ssp245,carbonate,NP_SPSS,NP,SPSS,91.54037239,92.69018731,17.67667038,40.36112605,163.2605857,0.058695715,90696
ssp245_carbonate_NP_STPS,1850s,31.27125011,31.20149796,3.491139267,14.03278464,46.40477821,0.007612855,210300,ssp245,carbonate,NP_STPS,NP,STPS,249.474911,250.3447203,24.76241743,151.184974,285.0141975,0.053997469,210300
ssp245_carbonate_NP_STPS,2090s,-50.05013977,-50.17324214,5.581389967,-65.13451484,-28.91751922,0.012170901,210300,ssp245,carbonate,NP_STPS,NP,STPS,168.1535211,168.9699803,19.96620624,90.09040501,196.0355629,0.043538746,210300
ssp245_carbonate_NP_STSS,1850s,31.72189191,31.75321677,2.914204195,17.83346466,41.06419302,0.014467942,40572,ssp245,carbonate,NP_STSS,NP,STSS,214.8825279,215.7688574,27.83844147,139.983743,278.2698875,0.138207531,40572
ssp245_carbonate_NP_STSS,2090s,-46.62351309,-46.79403998,6.56717315,-64.68621769,-24.98396425,0.032603578,40572,ssp245,carbonate,NP_STSS,NP,STSS,136.5371229,137.2216007,20.94002236,83.24085773,193.6991511,0.10395944,40572
ssp245_carbonate_Pac_EQU_E,1850s,22.53225653,22.52969568,3.24160269,-3.717053626,32.49517654,0.012058653,72264,ssp245,carbonate,Pac_EQU_E,Pac,EQU,237.0457826,237.0367101,16.39561444,166.1776356,282.4709568,0.060991133,72264
ssp245_carbonate_Pac_EQU_E,2090s,-41.50467984,-41.50169588,6.04924973,-60.05029536,-21.77849924,0.022503005,72264,ssp245,carbonate,Pac_EQU_E,Pac,EQU,173.0088462,173.0053186,10.99997484,122.3720655,204.6754948,0.040919535,72264
ssp245_carbonate_Pac_EQU_W,1850s,29.31664449,29.30438417,3.767571328,18.95744684,41.03794936,0.016465626,52356,ssp245,carbonate,Pac_EQU_W,Pac,EQU,270.8229778,270.8037391,13.50794681,210.1497067,294.9768354,0.05903453,52356
ssp245_carbonate_Pac_EQU_W,2090s,-54.24956274,-54.24367468,6.311695197,-70.76074701,-33.03208701,0.027584352,52356,ssp245,carbonate,Pac_EQU_W,Pac,EQU,187.2567706,187.2556803,7.216124918,156.0472585,204.6306318,0.031537032,52356
ssp245_carbonate_SA_STPS,1850s,30.89729501,30.89623993,3.250316987,2.115743693,41.78356841,0.010632858,93444,ssp245,carbonate,SA_STPS,SA,STPS,249.5946259,250.7280841,24.76975413,141.6298126,298.8968507,0.081030027,93444
ssp245_carbonate_SA_STPS,2090s,-47.66541389,-47.66325123,4.220021076,-59.76073754,-11.50902738,0.013805079,93444,ssp245,carbonate,SA_STPS,SA,STPS,171.031917,172.168593,22.47107393,101.0554614,216.6485996,0.073510287,93444
ssp245_carbonate_SO_SPSS,1850s,19.60020684,19.71676302,2.838093009,7.189050932,36.29122904,0.00557971,258720,ssp245,carbonate,SO_SPSS,SO,SPSS,124.0248725,124.8743671,15.30876477,68.76143737,207.6192337,0.030097134,258720
