"","variable","biome","loc","type","seasonal_sd","seasonal_range","spatial_sd","spatial_range","total_area_km2","mean","areaW_mean","sd","min","max","se"
"1","talk","Atl_EQU","Atl","EQU",3.84641824688162,11.1060427856314,35.9979719352619,226.772251383463,900923427.328359,2324.25807240126,2324.24105700541,39.83665605147,2125.84423828125,2416.1669921875,0.148462451545609
"2","talk","IND_STPS","IND","STPS",3.49183549705963,9.46007949153909,42.6204636559867,244.692873128256,4389596574.79992,2298.11964628146,2296.37458384509,43.5660865941817,2077.06372070312,2405.99267578125,0.0712343599077851
"3","talk","NA_SPSS","NA","SPSS",2.33370218132391,6.38746552107477,151.106460817969,1103.06987813314,1203358189.28354,2270.03310354277,2265.00055833985,151.758071864641,1053.36193847656,2344.4189453125,0.335406645869405
"4","talk","NA_STPS","NA","STPS",1.97248131773678,5.72141338136043,31.0365631383075,148.658256022135,2132423651.36161,2392.84759364059,2391.90847016297,32.2138949379192,2268.39428710938,2461.81982421875,0.0745500293201345
"5","talk","NA_STSS","NA","STSS",2.43719973138189,6.39729228462193,21.0405342777695,150.069431559245,724326005.550699,2362.32595735232,2363.44749198412,22.0374227026408,2224.84448242188,2432.68139648438,0.0795206995600953
"6","talk","NP_SPSS","NP","SPSS",7.64882562993629,20.155424419539,20.9587912241681,126.325423177083,1543172092.97829,2220.82863948439,2221.64121388436,23.5505895885033,2107.9287109375,2304.7802734375,0.0541715025907758
"7","talk","NP_STPS","NP","STPS",2.6113532176158,7.37563601031661,29.0276765090229,129.18159790039,5013758235.04182,2270.29452390925,2269.74500595196,29.9775642349289,2169.75390625,2343.85327148438,0.0458006467978766
"8","talk","NP_STSS","NP","STSS",8.52367714557984,23.0075796366496,23.283425348644,125.509379069011,831740386.881791,2260.58132512775,2261.18903367488,25.4729214992506,2174.45166015625,2324.81640625,0.0889770048398772
"9","talk","Pac_EQU_E","Pac","EQU",4.33209913155917,13.9163531458539,39.6679541275421,180.401971435547,1816743239.09272,2278.88031135435,2278.90939590798,40.856165848023,2102.9853515625,2358.359375,0.107263961978367
"10","talk","Pac_EQU_W","Pac","EQU",0.910761826218284,3.35373951475822,27.8640515833771,127.564784749349,1393863611.44212,2266.11921753192,2266.07840579311,29.3160170637376,2151.64672851562,2352.576171875,0.0877080594478037
"11","talk","SA_STPS","SA","STPS",1.75520323767347,5.31991443738025,30.7497219635451,173.715112304687,2207132827.37751,2380.04056407386,2381.3266421158,31.1250094311333,2216.32470703125,2452.701171875,0.0709220614187755
"12","talk","SO_SPSS","SO","SPSS",1.0582067385608,3.17784356883612,7.23786148037315,65.2743835449219,3720886911.45829,2280.10003592679,2279.78839873759,8.45226206012741,2225.27270507812,2317.4453125,0.0117283982562288
"13","talk","SO_STSS","SO","STSS",0.304410553569122,0.911255984686704,21.3380181271324,182.072843424479,3565610105.57674,2298.01479072501,2298.99920445111,21.7067389787904,2108.67504882812,2362.46166992188,0.034694607810014
"14","talk","SP_STPS","SP","STPS",1.17100239198194,3.6875710915524,35.4112271718389,139.241784667969,6429823244.71818,2321.91605557349,2324.16883989316,35.7533365279673,2243.4765625,2407.90478515625,0.046904397438925
"15","dic","Atl_EQU","Atl","EQU",10.6594498266215,30.3340834024527,37.4799389150089,186.129978434245,900923427.328359,1991.39913820224,1991.38429489977,43.3434402171996,1819.60827636719,2077.16650390625,0.161531464507261
