scenario,biome,loc,type,period,n,areaW_mean_abs_aqueous,areaW_mean_abs_bicarbonate,areaW_mean_abs_carbonate,areaW_mean_abs_dic,areaW_mean_abs_pCO2,areaW_mean_abs_pH,areaW_mean_abs_tos,sd_abs_aqueous,sd_abs_bicarbonate,sd_abs_carbonate,sd_abs_dic,sd_abs_pCO2,sd_abs_pH,sd_abs_tos,min_abs_aqueous,min_abs_bicarbonate,min_abs_carbonate,min_abs_dic,min_abs_pCO2,min_abs_pH,min_abs_tos,max_abs_aqueous,max_abs_bicarbonate,max_abs_carbonate,max_abs_dic,max_abs_pCO2,max_abs_pH,max_abs_tos,se_abs_aqueous,se_abs_bicarbonate,se_abs_carbonate,se_abs_dic,se_abs_pCO2,se_abs_pH,se_abs_tos,areaW_mean_delta_aqueous,areaW_mean_delta_bicarbonate,areaW_mean_delta_carbonate,areaW_mean_delta_dic,areaW_mean_delta_pCO2,areaW_mean_delta_pH,areaW_mean_delta_tos,sd_delta_aqueous,sd_delta_bicarbonate,sd_delta_carbonate,sd_delta_dic,sd_delta_pCO2,sd_delta_pH,sd_delta_tos,min_delta_aqueous,min_delta_bicarbonate,min_delta_carbonate,min_delta_dic,min_delta_pCO2,min_delta_pH,min_delta_tos,max_delta_aqueous,max_delta_bicarbonate,max_delta_carbonate,max_delta_dic,max_delta_pCO2,max_delta_pH,max_delta_tos,se_delta_aqueous,se_delta_bicarbonate,se_delta_carbonate,se_delta_dic,se_delta_pCO2,se_delta_pH,se_delta_tos,p_s
ssp245,Atl_EQU,Atl,EQU,1850s,34920,8.285825217,1664.708307,266.1790057,1939.173138,311.0005864,8.130864386,27.50006626,0.466266421,59.80538619,16.64702701,70.68820367,17.12069878,0.017826164,1.557965772,4.545960006,1146.908275,182.9876307,1337.386146,157.0866684,8.048802757,22.44361115,11.16715025,1807.314629,300.6634292,2060.149657,397.1027863,8.306321335,30.99497032,0.002495152,0.320039204,0.089083971,0.378276906,0.091618751,9.53939361962366e-05,0.008337211,-1.989094499,-75.88968454,28.27847313,-49.60030591,-82.00098525,0.080371347,-0.791778189,0.154781685,14.16427219,2.74475179,14.80113162,6.486421162,0.004810292,0.273766747,-2.821507159,-198.8447628,5.366548468,-194.3865797,-118.29095,0.044231558,-1.869180679,-0.790120615,46.70773101,41.51287919,84.82965122,-29.16867584,0.126667843,0.241752625,0.00082829,0.075797895,0.014688111,0.079205949,0.034711072,2.57415264451282e-05,0.00146502,"Historical , 1850s"
ssp245,Atl_EQU,Atl,EQU,2090s,34920,15.45269281,1880.025222,192.8797362,2088.357651,621.8889836,7.889172799,30.42859601,0.775699067,68.42293204,14.1292067,78.17857506,29.90579379,0.016185884,1.751600956,8.703083174,1185.116637,108.5384875,1302.650205,311.3966843,7.839756282,24.46729469,18.5605188,1979.525018,217.8648417,2186.024491,711.3403931,8.066930389,34.05412292,0.004151033,0.366154658,0.075610248,0.418360461,0.160036195,8.66162352724261e-05,0.00937342,5.177773093,139.4272301,-45.02079636,99.58420679,228.887412,-0.16132024,2.13675156,0.335213993,14.10054788,3.782364115,14.09381963,11.50194318,0.004657027,0.494102418,2.812638272,1.368987484,-55.98075127,-46.4295388,119.7565389,-0.210616016,0.450569153,6.438487215,217.7136171,-28.15952227,195.052463,260.7687022,-0.142263492,3.345920563,0.001793845,0.075456885,0.020240732,0.075420879,0.061550856,2.49213534510583e-05,0.002644112,"SSP2-4.5 , 2090s"
ssp245,IND_STPS,IND,STPS,1850s,181044,8.119960668,1657.733034,256.8434027,1922.696397,283.1152736,8.163212792,24.71138141,0.651199348,60.31013873,22.66070138,58.73924143,20.24289495,0.030319,4.256525987,6.093515663,1349.209978,160.2554868,1570.142478,227.309849,8.088466708,11.40495491,11.57175699,1870.204765,311.1319859,2072.48803,340.7676717,8.25491991,30.72564697,0.00153046,0.141741903,0.053257562,0.138049954,0.047575192,7.12562239921351e-05,0.010003759,-2.216757585,-81.53042904,31.34365421,-52.40353242,-84.09254957,0.090324269,-0.804652098,0.314879051,8.85901071,3.383169604,6.85805873,5.479824763,0.007153134,0.287273159,-3.879194908,-114.8970769,18.32491806,-82.09882123,-110.8798633,0.061926428,-1.882568359,-1.276413053,-33.47465847,45.25181899,-1.650516013,-50.84013926,0.113890902,0.492816925,0.000740034,0.020820596,0.007951182,0.016117925,0.012878776,1.68114166115125e-05,0.000675154,"Historical , 1850s"
ssp245,IND_STPS,IND,STPS,2090s,181044,15.87807162,1866.41005,175.0700647,2057.358186,590.4950066,7.901815552,27.45479988,1.522514921,71.1316211,19.48824549,69.47872601,29.64260889,0.021529813,4.398168375,12.01802682,1511.638248,99.58702889,1669.304211,469.0577301,7.756546704,13.4548111,22.89640095,2071.477834,230.3744509,2221.062636,833.3778341,7.968621159,33.82546616,0.00357824,0.167174733,0.045801603,0.163290071,0.069666558,5.05997295421883e-05,0.010336649,5.541353367,127.1465867,-50.4296838,82.25825631,223.2871834,-0.171072972,1.938766378,0.679545261,15.8800453,4.074567186,14.01466966,11.73922339,0.00890293,0.527851819,4.025105311,50.17310699,-82.84105611,1.990172906,167.4176788,-0.28194863,-0.760385513,12.12348462,245.230241,-32.6979974,182.829377,454.6947011,-0.138743181,3.397855759,0.001597079,0.03732155,0.009576116,0.032937512,0.02758972,2.09238168151705e-05,0.001240566,"SSP2-4.5 , 2090s"
ssp245,NA_SPSS,NA,SPSS,1850s,91392,12.42498099,1820.978564,157.677951,1991.081496,249.8793523,8.207556009,6.637489969,1.557508714,121.432198,32.94973451,139.4685884,29.81200109,0.053454835,4.809482321,6.933778935,501.1456194,3.847862145,522.9385327,149.5220917,7.687929058,-1.904719353,25.59093701,1994.665037,291.2518644,2145.974903,440.1396179,8.398099136,25.75309372,0.005152006,0.40167959,0.108992805,0.461341278,0.098613651,0.000176821,0.01590905,-3.505816864,-66.91422189,22.84319752,-47.57684123,-79.18049811,0.101725428,-0.85076587,0.817302156,11.29044306,4.882524643,10.07130679,11.1660303,0.014836986,0.672503775,-7.891644064,-146.7795885,-4.272205804,-136.2191015,-132.1263662,-0.102255249,-5.141312838,1.66949302,80.37715584,67.5608275,110.2038052,37.27887039,0.203700924,4.068329692,0.002703514,0.037347101,0.016150663,0.03331438,0.036935562,4.90785364086099e-05,0.002224542,"Historical , 1850s"
ssp245,NA_SPSS,NA,SPSS,2090s,91392,26.61462258,1961.299947,86.5729023,2074.487472,571.210287,7.886376604,8.745704227,3.506269443,135.6288608,17.67614856,143.9334128,39.81180788,0.043817547,4.311077007,15.58066131,520.0345719,2.157421338,561.5672874,381.4765381,7.419852543,-1.819954872,43.95354171,2162.347934,202.422881,2275.151375,823.7896688,8.054256344,29.2197628,0.011598216,0.448640032,0.058470062,0.476110251,0.13169152,0.000144942,0.014260399,10.68382472,73.40716107,-48.26185114,35.82913465,242.1504366,-0.219453977,1.257448388,2.524687956,36.84015161,21.23760067,42.95874306,27.83304502,0.030108033,2.838407497,4.674301415,-96.79731924,-120.6676724,-95.14090476,139.6966446,-0.495242262,-7.835574865,18.40314354,224.2820351,0.341989038,194.3310945,390.6274045,-0.133773883,9.268355072,0.008351291,0.121861724,0.070250814,0.142101112,0.09206756,9.95928804363971e-05,0.009389028,"SSP2-4.5 , 2090s"
ssp245,NA_STPS,NA,STPS,1850s,90324,8.349682195,1721.267449,274.6651562,2004.282287,291.5299913,8.163820325,24.3167715,0.601572113,50.23599161,24.16237324,56.58349131,18.83121056,0.026347,3.07189585,7.012642777,1489.123753,179.6520547,1731.179384,242.2034702,8.039988645,13.71548939,11.27194808,1868.621961,318.2050081,2111.653809,403.1638245,8.233355427,29.9774437,0.002001641,0.167152701,0.08039666,0.188273051,0.062658019,8.76656752644118e-05,0.010221271,-2.256199448,-92.76403677,30.56819369,-64.45204253,-86.40209826,0.088093957,-0.76550785,0.179822029,6.535643441,3.463233827,6.749371793,7.316093956,0.004069556,0.257887885,-3.292793754,-136.3291319,15.03567667,-119.7565023,-117.2456396,0.061695385,-1.600765228,-1.5580016,-46.98827371,39.74073405,-31.22765496,-59.53261108,0.105696526,0.466581345,0.000598331,0.02174637,0.011523389,0.022457519,0.024343201,1.35408337013513e-05,0.000858083,"Historical , 1850s"
ssp245,NA_STPS,NA,STPS,2090s,90324,16.24106529,1971.276503,196.1730059,2183.690575,606.6226396,7.910160573,26.91957866,1.190317005,55.10854804,20.50471205,61.29209985,34.99937892,0.024511918,3.191869895,13.91365352,1735.61429,112.6146993,1924.266983,518.0719238,7.780346203,15.08905983,21.51041339,2104.437071,229.360196,2300.229469,817.9548682,7.979023886,33.23360062,0.003960601,0.183365399,0.068226343,0.203940237,0.116455165,8.15597161316432e-05,0.010620467,5.635183646,157.2450176,-47.92395653,114.9562447,228.6905501,-0.165565795,1.837299318,0.55834812,19.02658329,7.026872411,18.71315545,13.44645076,0.008877964,0.609903377,4.406057157,65.51221793,-82.28176056,32.26257018,180.4119832,-0.222754463,-0.737291336,8.36456658,193.5104347,-31.95628536,164.5953726,307.0345612,-0.133591652,3.697004318,0.001857819,0.063308092,0.02338086,0.062265208,0.044741041,2.95400882235008e-05,0.002029362,"SSP2-4.5 , 2090s"
ssp245,NA_STSS,NA,STSS,1850s,37596,9.602729433,1773.054499,227.0314219,2009.68865,274.7858821,8.184554064,17.38829788,1.160448241,63.2798103,35.21915608,69.4633452,20.32604687,0.028347687,4.157834304,7.396695019,1620.393815,118.1633964,1822.918733,224.9613312,8.025264231,4.064365387,14.08793467,1926.563272,307.1949001,2133.777968,421.5273749,8.25761137,28.92743874,0.005984873,0.326358064,0.181638591,0.358248907,0.104829159,0.0001462,0.021443534,-2.533828656,-79.7766873,27.84062518,-54.46989078,-79.45600923,0.089158937,-0.678801925,0.442289567,8.704940869,4.333559254,7.18137416,9.747152912,0.008059453,0.408559751,-4.907644989,-103.7098229,-1.965238157,-79.55420564,-123.5507129,0.043545628,-4.075092316,-1.007161375,-24.88585278,45.80559108,-18.75678423,-45.98359375,0.119719076,1.362586021,0.002281056,0.044894693,0.022349814,0.03703708,0.050269777,4.15656654990369e-05,0.002107098,"Historical , 1850s"
ssp245,NA_STSS,NA,STSS,2090s,37596,19.53073706,1978.009371,144.8155744,2142.355682,590.8621032,7.905502335,19.42421854,2.470977994,66.26262139,30.25000293,79.76120436,45.54914643,0.033949673,4.55506824,14.48831051,1805.098971,72.97530319,1914.889162,479.0575887,7.760989046,5.967592716,29.77051399,2130.051501,222.8414854,2290.661171,865.2587195,7.995891937,32.54961777,0.012743774,0.341741556,0.156010777,0.411358885,0.234914283,0.000175091,0.02349222,7.394178968,125.1781844,-54.3752223,78.19714103,236.6202119,-0.189892792,1.35711874,1.499388025,37.23727559,17.67540041,42.28863923,26.47756481,0.021416129,1.548306092,4.3574696,-0.771740753,-110.0458983,-44.80221823,136.952829,-0.28634936,-2.802309036,14.0729815,194.3715634,-4.512735462,144.4602808,339.307136,-0.118036048,8.205732346,0.007732915,0.192046801,0.091158767,0.218098606,0.136554878,0.000110451,0.007985204,"SSP2-4.5 , 2090s"
