"","scenario","biome","loc","type","period","month","n","seas_areaW_mean_abs_aqueous","seas_areaW_mean_abs_bicarbonate","seas_areaW_mean_abs_carbonate","seas_areaW_mean_abs_dic","seas_areaW_mean_abs_pCO2","seas_areaW_mean_abs_pH","seas_areaW_mean_abs_tos","seas_sd_abs_aqueous","seas_sd_abs_bicarbonate","seas_sd_abs_carbonate","seas_sd_abs_dic","seas_sd_abs_pCO2","seas_sd_abs_pH","seas_sd_abs_tos","seas_min_abs_aqueous","seas_min_abs_bicarbonate","seas_min_abs_carbonate","seas_min_abs_dic","seas_min_abs_pCO2","seas_min_abs_pH","seas_min_abs_tos","seas_max_abs_aqueous","seas_max_abs_bicarbonate","seas_max_abs_carbonate","seas_max_abs_dic","seas_max_abs_pCO2","seas_max_abs_pH","seas_max_abs_tos","seas_se_abs_aqueous","seas_se_abs_bicarbonate","seas_se_abs_carbonate","seas_se_abs_dic","seas_se_abs_pCO2","seas_se_abs_pH","seas_se_abs_tos","seas_areaW_mean_delta_aqueous","seas_areaW_mean_delta_bicarbonate","seas_areaW_mean_delta_carbonate","seas_areaW_mean_delta_dic","seas_areaW_mean_delta_pCO2","seas_areaW_mean_delta_pH","seas_areaW_mean_delta_tos","seas_sd_delta_aqueous","seas_sd_delta_bicarbonate","seas_sd_delta_carbonate","seas_sd_delta_dic","seas_sd_delta_pCO2","seas_sd_delta_pH","seas_sd_delta_tos","seas_min_delta_aqueous","seas_min_delta_bicarbonate","seas_min_delta_carbonate","seas_min_delta_dic","seas_min_delta_pCO2","seas_min_delta_pH","seas_min_delta_tos","seas_max_delta_aqueous","seas_max_delta_bicarbonate","seas_max_delta_carbonate","seas_max_delta_dic","seas_max_delta_pCO2","seas_max_delta_pH","seas_max_delta_tos","seas_se_delta_aqueous","seas_se_delta_bicarbonate","seas_se_delta_carbonate","seas_se_delta_dic","seas_se_delta_pCO2","seas_se_delta_pH","seas_se_delta_tos","p_s"
"1","ssp245","Atl_EQU","Atl","EQU","1850s","1",2910,8.22985010956784,1662.60381605741,268.313073934622,1939.14674010159,310.786170862483,8.13115992857533,27.7236995538681,0.420725891284507,57.8470422057578,16.3000930887184,71.2316617913045,16.5542481354743,0.0164557634383296,0.81670553477424,6.41368774564111,1352.41177198925,203.056987030949,1562.29850691313,236.059799194336,8.08556318283081,24.9196281433105,9.51431022980202,1746.08545074147,294.456650950984,2041.3860528524,355.23787902832,8.18182210922241,29.6602478027344,0.0077992482587157,1.07234532635412,0.302164604728647,1.32046404963363,0.306876029309158,0.000305050359392883,0.0151397604756968,-1.97485796794297,-74.3170855527915,28.4668294477719,-47.8251140729625,-82.9591847105108,0.0813627911317267,-0.926185679779074,0.173092790416416,14.5083276590758,2.4896002245935,15.3013983518069,6.90722396168141,0.0046153960435336,0.280522990825744,-2.28472334456156,-101.44939159667,22.2131089548562,-81.3327485620498,-97.9946356201172,0.0670995521545414,-1.70788192749023,-1.28970296309023,-10.1437386799562,35.0797274967906,22.5544156562285,-51.762417602539,0.100597095489501,-0.157609939575195,0.00320872490193044,0.26894957400044,0.0461512129840109,0.283651201229602,0.128043354525272,8.55583654381537e-05,0.00520022297902247,"Historical , 1850s"
"2","ssp245","Atl_EQU","Atl","EQU","1850s","10",2910,8.32184344116951,1670.68667810749,262.747365098689,1941.75588664735,305.030542403964,8.13827214961708,26.5440518797413,0.546619090042135,66.7762991774855,16.4398181129165,75.8841035815825,15.1358642677441,0.0152737764775195,1.44070219794438,4.54596000556561,1146.90827496479,185.907999374097,1337.38614562608,157.086668395996,8.077552318573,23.4840087890625,10.2343115224956,1761.57562410856,298.297868850822,2043.20896213066,362.196313476563,8.30632133483887,29.8599891662598,0.0101330060129553,1.23787231989319,0.304754771329397,1.40670915430456,0.28058259660215,0.00028313915797436,0.0267071609839368,-2.02168167976771,-77.8909732211156,28.0566145637258,-51.8560403371575,-81.388483749654,0.0810522745280212,-0.762135653717199,0.159399698232272,14.401321054032,3.10174318565909,14.6872190832658,6.99017151840846,0.00511225742548648,0.31082107638682,-2.37448234991334,-116.120905691425,14.4689111777319,-98.0681064451587,-101.090557861328,0.0472955703735352,-1.86918067932129,-0.902365817936285,31.7216065970269,37.3759419247969,66.7927453169766,-32.0839317321777,0.0994708061218255,0.106277465820312,0.00295488783702444,0.266965928364774,0.0574988743047813,0.272265791655487,0.12958100314821,9.476898296442e-05,0.00576187676822284,"Historical , 1850s"
"3","ssp245","Atl_EQU","Atl","EQU","1850s","11",2910,8.24944558113887,1663.95397182729,265.640978457831,1937.84439586626,307.065798745279,8.13536705717853,27.1736108290604,0.546255473413418,70.9547650323477,17.175115923864,82.4344532819597,16.2867128438232,0.0152867997864979,1.25945313857701,5.1846984922774,1195.04348390928,182.987630727394,1387.74184593507,187.399935913086,8.04880275726318,24.2629776000977,11.1671502450358,1776.48360439187,297.414800063485,2039.9565214572,397.102786254883,8.24706773757935,30.0797119140625,0.0101262654333592,1.3153310482903,0.318385427988442,1.52813691654346,0.301916567101627,0.000283380578866148,0.0233472384311579,-2.02683164631358,-78.8221639748916,28.5715536300261,-52.2774419911791,-82.4749516281369,0.0814120422846074,-0.74352076960895,0.156483348025353,13.7379711238793,2.74379591357563,14.2192393133905,6.79141185917025,0.00462725367982436,0.304497642261944,-2.32249433864181,-114.500208648029,12.6079258041965,-93.8664817488404,-98.2685870361328,0.0442315578460697,-1.70829391479492,-0.965488096616321,25.7050147967632,38.8806649303535,61.1669835067826,-35.2295959472656,0.0945839691162114,0.214893341064453,0.00290082570359197,0.25466901273672,0.0508633909738514,0.263590569899654,0.125896476100246,8.57781775559933e-05,0.00564465547614363,"Historical , 1850s"
"4","ssp245","Atl_EQU","Atl","EQU","1850s","12",2910,8.19533238028071,1660.34671894442,267.735817414042,1936.27786873874,307.81473013822,8.1343071610222,27.5278126374484,0.498910710096623,66.7138488933316,16.9697913050871,79.5653045666016,16.5799635095779,0.0152742196138654,0.899683431344004,5.60177375578132,1242.44567447875,188.831018069192,1436.87846630372,202.056231689453,8.09202124277751,25.1821212768555,9.37494860447979,1747.51135103643,296.347954368403,2040.24048352735,346.547293701172,8.21940593719482,29.8162479400635,0.00924860715154897,1.23671464150916,0.314579202346901,1.4749497854783,0.307352730626699,0.00028314737265866,0.0166779715265018,-2.02319212662801,-77.8717816518886,29.0355390501402,-50.8594347283764,-83.4740043391224,0.0822386986327125,-0.814707907603078,0.169790580257204,14.5107952655486,2.63130449000607,15.5485522266861,6.84810969331644,0.0043099116142408,0.262335060228653,-2.30523302927428,-107.131328494189,22.0678690934739,-84.3853945412648,-95.6934362792968,0.065017013549804,-1.81939697265625,-1.0622633225087,25.8890874626065,40.1538181363209,64.9806422764191,-42.4603204345703,0.0976425170898434,-0.0343341827392578,0.00314750985106794,0.268995317502053,0.0487780699665876,0.288232840886722,0.12694751786734,7.98954172988022e-05,0.00486306239780434,"Historical , 1850s"
"5","ssp245","Atl_EQU","Atl","EQU","1850s","2",2910,8.31829782595084,1664.93690820012,269.075276315563,1942.33048234164,318.68661797126,8.1223211476644,28.3163774300702,0.38409555922558,52.8652748121907,15.9406670031909,66.3007103437075,17.2017894741847,0.0186696985342606,0.954031773942168,6.62193232130132,1369.87246445054,206.256128741176,1582.75052551302,248.005827331543,8.0753938293457,25.0339241027832,9.58274085347336,1746.02450368279,295.173260077609,2043.36911885687,367.955389404297,8.17308311462402,30.4109001159668,0.00712020981719138,0.979995315398096,0.295501707745701,1.22905604435478,0.318879891593373,0.000346091402503236,0.0176854593592061,-1.97597967682495,-73.3940951759853,28.3532414774143,-47.016833375396,-84.1814930831172,0.0807421727293606,-0.930041972535013,0.160156743911286,13.7030535464754,2.32726477386073,14.2397018356912,6.45624943389108,0.00446736211987469,0.242748060267627,-2.28410955268365,-100.821642504155,21.9205604159584,-80.0541183598561,-99.4252502441406,0.0650060335795093,-1.68332290649414,-1.35469485791176,-14.459743831472,34.9607988780666,19.0326998088703,-56.9841807047527,0.0950524330139171,-0.214076995849609,0.00296892164696133,0.254021724655793,0.0431419033415976,0.263969895951909,0.11968336914416,8.2814171783224e-05,0.00449996642842366,"Historical , 1850s"
"6","ssp245","Atl_EQU","Atl","EQU","1850s","3",2910,8.34324999822336,1662.45209379907,270.225234212494,1941.02057800979,324.276255281013,8.11561441474098,28.9373185215744,0.344211012342915,50.8844401941438,15.8718064575542,64.6358042007957,16.6360493072178,0.0190515575028422,1.04492012691645,7.08583897112646,1421.39327236892,212.069097827014,1640.54820916706,268.668809509277,8.0761639213562,25.5218925476074,9.45112922725511,1744.90905620213,296.757808576335,2043.31838044107,366.400005493164,8.17149095535278,30.906810760498,0.00638084604313277,0.943275395693514,0.29422519849876,1.19819268033317,0.308392426705889,0.000353170151297832,0.0193703112862126,-1.96601978954763,-73.978273354991,28.1103824769535,-47.8339106675852,-84.2787882540699,0.0794036080323202,-0.856176155637571,0.138801588123067,12.8714550955402,2.37123297726256,13.5621446590597,5.60519192456512,0.00420517813500969,0.206799788232725,-2.35900054069549,-105.514593316816,21.6652606531269,-82.4200475098762,-99.28939453125,0.0661965688069674,-1.47165489196777,-1.34998589679444,-12.2962118845969,36.3545721935893,22.3834189034264,-57.3489654541015,0.0936400413513176,-0.307846069335938,0.00257304831221751,0.238605885258305,0.0439569683065172,0.251409612072327,0.103906805506937,7.79539099600725e-05,0.0038335717427625,"Historical , 1850s"
"7","ssp245","Atl_EQU","Atl","EQU","1850s","4",2910,8.30094603253649,1660.55118855367,271.232063945338,1940.08419853155,323.001643718588,8.11670935131734,28.9907785203794,0.287252764344843,48.3806705129598,15.3734618496851,61.6847986231593,13.356988929511,0.0156018971288921,1.00417349793146,6.84181049263614,1459.97529131399,224.014351297135,1691.51778106886,247.029304504395,8.08309774398804,25.0946025848389,10.1489185494542,1783.30563623147,297.368611180323,2041.11576178254,362.966979980469,8.19107093811035,30.9949703216553,0.00532497682823327,0.896861514991805,0.284987085523834,1.14348811950243,0.247606517231734,0.00028922172734287,0.0186149665790221,-1.96800635954552,-75.711500474923,28.0973990029582,-49.5821078315103,-83.9460233586516,0.0791316950741679,-0.797576684478331,0.116900819352044,11.3742802809706,2.32647399742435,12.0781582260777,4.65664245335953,0.00390163292487521,0.217890988347274,-2.26856249145088,-119.372964359449,16.6782809329978,-100.861566205806,-96.6293453979492,0.0647133509318056,-1.39653396606445,-1.34955221439899,-15.1654510981139,35.1583384793517,17.4884755831022,-57.2387135823568,0.0960491180419929,-0.157587051391602,0.00216706062227419,0.210851857499579,0.0431272442443748,0.22390006525538,0.0863229748826331,7.23269102896816e-05,0.00403917597338488,"Historical , 1850s"
"8","ssp245","Atl_EQU","Atl","EQU","1850s","5",2910,8.24188601831882,1658.47726634458,270.435737132849,1937.15488949575,317.550919506566,8.12254312590438,28.5808679619719,0.312526462943911,50.7932886568475,15.2673991729914,63.4628118004909,12.5744812875843,0.0127236305020599,0.934139409683374,6.30363365510867,1389.01439002181,212.621273988248,1608.41557165111,225.064895629883,8.06588354110718,24.9362258911133,10.7695985701904,1807.31462851114,297.152733499082,2052.1358274653,385.685549926758,8.2124960899353,30.7302284240723,0.00579349054196806,0.941585664960835,0.283020938054296,1.17644821647897,0.233100703612573,0.000235865572082483,0.0173167026686362,-1.97184090916454,-76.388969755242,28.4332765105934,-49.9275341538131,-82.7546862529164,0.0793480339030293,-0.738183715471678,0.136262283765752,12.8518868526369,2.41899454896847,13.6964830046129,4.87850904004533,0.00435505569751606,0.250715024674472,-2.48040753597163,-151.897044276084,12.9242571965033,-140.222842360683,-103.17967956543,0.0493248939514164,-1.38530158996582,-1.27176572947284,-16.2064861366703,36.4621550886903,17.4671397224881,-54.9911661783855,0.109156322479249,0.182163238525391,0.00252597570390554,0.238243136999757,0.0448423532154981,0.253899922579331,0.0904358489075558,8.07322802543976e-05,0.00464765482736586,"Historical , 1850s"
"9","ssp245","Atl_EQU","Atl","EQU","1850s","6",2910,8.20228591982611,1658.40832748709,266.911643694106,1933.52225710102,308.628841688755,8.13273287781289,27.616598520128,0.392157113014014,58.0323405228052,15.8153397210773,69.9429898850967,13.519506775017,0.0121165355282739,1.14336562744241,5.84265970793704,1325.16865808624,207.660658059377,1538.67197585356,210.872907511393,8.08440675735474,25.0587959289551,10.0600454888768,1769.9936107018,297.045318059907,2041.57496705821,363.765841674805,8.23511194229126,30.0340461730957,0.00726965167624842,1.07578031242584,0.293178440727809,1.29657516537727,0.250619208035485,0.000224611488330424,0.0211952545912498,-1.97274506237815,-76.1562010986869,28.5245147002997,-49.6044314607653,-80.7307208560201,0.0798150001370331,-0.712995184274468,0.157867558834766,15.209582459576,2.9141949760564,16.6529803359648,5.58450390185802,0.0052806698982407,0.252698396769422,-2.82150715883994,-198.844762772589,5.36654846825516,-194.386579687299,-118.290950012207,0.0504129409790028,-1.54405784606934,-1.30456645184055,-13.9282060744031,39.3387728407571,20.5070820901894,-54.4242167154948,0.12666784286499,0.217159271240234,0.00292648564981503,0.281949154950924,0.0540221806249529,0.308706287343442,0.10352329921836,9.78909460099178e-05,0.00468442178580214,"Historical , 1850s"
"10","ssp245","Atl_EQU","Atl","EQU","1850s","7",2910,8.2730984257563,1665.00260560722,262.119118412866,1935.39482244585,303.340713444347,8.13944269721439,26.5809683097633,0.513265761684757,61.628857286853,16.2680160726686,70.712737133331,14.749058708957,0.0130434048059027,1.40750949340091,6.63836933767819,1423.52775768814,221.050456198045,1653.96284472637,245.282252502441,8.09055442810059,22.9748687744141,10.1605237993167,1775.71520296983,299.381916208062,2041.74584978904,358.669973754883,8.19258327484131,29.2531318664551,0.00951471535506529,1.14245110138965,0.301569973837719,1.31084443192304,0.273412149897238,0.000241793420199492,0.0260918479060505,-1.97077033128789,-74.6140993686709,28.1189378681291,-48.4659318318297,-79.1926593210968,0.0799231763902158,-0.747487627802718,0.153454840312332,15.1558322396479,2.98517172953792,16.0053321055835,6.02746168696564,0.00516294424319384,0.257583227616763,-2.67212175335329,-154.74087100104,14.9511754661066,-140.592466696594,-112.378660888672,0.0517992019653306,-1.59736442565918,-1.19041467109111,-1.42560813858813,36.6285642619176,32.1031502956603,-47.9633724975586,0.110168075561523,-0.00653076171875,0.00284468443918067,0.280952754876996,0.0553379192863175,0.296700443544192,0.111734673430766,9.57085949135137e-05,0.00477497482584427,"Historical , 1850s"
