"","X","container","Condition","Species","Method","Medium","pH_actual_average","pH_NIST","pH_offset","CellDensity","Incubator.CO2.ppm.nominal"
"1",1,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.044,-0.036,4933.333333,430
"2",2,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.082,0.002,NA,430
"3",3,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.12,0.04,62033.33333,430
"4",4,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,8.064,-0.016,1250,430
"5",5,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,8.098,0.018,2033.333333,430
"6",6,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,8.086,0.006,9633.333333,430
"7",7,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.052,-0.028,6016.666667,430
"8",8,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.081,0.001,8850,430
"9",9,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.221,0.141,109066.6667,430
"10",10,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,8.065,-0.015,4100,430
"11",11,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,8.077,-0.003,6850,430
"12",12,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,8.092,0.012,30783.33333,430
"13",13,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.097,0.017,29883.33333,430
"14",14,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.155,0.075,27883.33333,430
"15",15,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.471,0.391,216033.3333,430
"16",16,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,8.119,0.039,19166.66667,430
"17",17,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,8.108,0.028,38500,430
"18",18,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,8.194,0.114,150483.3333,430
"19",19,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.123,0.043,31350,430
"20",20,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.195,0.115,NA,430
"21",21,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.69,0.61,705083.3333,430
"22",22,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,8.155,0.075,95433.33333,430
"23",23,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,8.197,0.117,161633.3333,430
"24",24,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,8.652,0.572,636183.3333,430
"25",25,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.554,0.474,NA,430
"26",26,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.725,0.645,1388033.333,430
"27",27,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0007",8.08,8.926,0.846,2995533.333,430
"28",28,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,9.3,1.22,2740283.333,430
"29",29,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,9.543,1.463,3098766.667,430
"30",30,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0007",8.08,9.543,1.463,4599716.667,430
"31",31,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"32",32,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"33",33,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"34",34,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"35",35,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"36",36,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"37",37,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"38",38,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"39",39,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"40",40,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"41",41,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"42",42,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"43",43,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"44",44,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"45",45,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"46",46,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"47",47,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"48",48,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"49",49,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"50",50,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"51",51,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"52",52,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"53",53,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"54",54,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","ESAW L1-0007",8.08,NA,NA,NA,430
"55",55,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0008",8.08,NA,NA,NA,430
"56",56,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0008",8.08,NA,NA,NA,430
"57",57,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0008",8.08,NA,NA,NA,430
"58",58,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0008",8.08,NA,NA,NA,430
"59",59,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0008",8.08,NA,NA,NA,430
"60",60,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0008",8.08,NA,NA,NA,430
"61",61,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0008",8.08,NA,NA,NA,430
"62",62,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0008",8.08,NA,NA,NA,430
"63",63,"125ml (150rpm)","Ambient430","Ehux","SmallProbe","L1-0008",8.08,NA,NA,NA,430
"64",64,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0008",8.08,NA,NA,NA,430
"65",65,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0008",8.08,NA,NA,NA,430
"66",66,"125ml (150rpm)","Ambient430","Tpsu","SmallProbe","L1-0008",8.08,NA,NA,NA,430
"103",103,"Vials (50 rpm)","2002ppm","Ehux","SmallProbe","L1",7.56,7.695,0.135,34000,2002
