Sample.ID.Offical,Blank,DIC_ugC_ml,DIC_mM,sp
E_huxleyi_O478,Sample_Final,25.62679992,2.13556666,E_huxleyi
E_huxleyi_O478,Sample_Final,25.56602058,2.130501715,E_huxleyi
E_huxleyi_O486,Sample_Final,25.85456381,2.154546984,E_huxleyi
E_huxleyi_O486,Sample_Final,25.70267892,2.14188991,E_huxleyi
E_huxleyi_O486,Sample_Final,25.63086033,2.135905028,E_huxleyi
E_huxleyi_O479,Sample_Final,26.37353556,2.19779463,E_huxleyi
E_huxleyi_O479,Sample_Final,26.08029749,2.173358124,E_huxleyi
E_huxleyi_O480,Sample_Final,25.38761611,2.115634676,E_huxleyi
E_huxleyi_O480,Sample_Final,25.26313902,2.105261585,E_huxleyi
E_huxleyi_O490,Sample_Final,25.61601444,2.13466787,E_huxleyi
E_huxleyi_O490,Sample_Final,26.87512367,2.239593639,E_huxleyi
E_huxleyi_O491,Sample_Final,25.23636567,2.103030472,E_huxleyi
E_huxleyi_O491,Sample_Final,25.11429945,2.092858287,E_huxleyi
E_huxleyi_O491,Sample_Final,25.62058241,2.135048534,E_huxleyi
E_huxleyi_O493,Blank_Initial,29.92106914,2.493422429,E_huxleyi
E_huxleyi_O493,Blank_Initial,29.04122803,2.420102336,E_huxleyi
E_huxleyi_O493,Blank_Initial,29.73035654,2.477529712,E_huxleyi
E_huxleyi_O492,Sample_Final,25.26542301,2.105451917,E_huxleyi
E_huxleyi_O492,Sample_Final,25.99870853,2.166559044,E_huxleyi
E_huxleyi_O493,Sample_Final,28.09540518,2.341283765,E_huxleyi
E_huxleyi_O493,Sample_Final,27.90164726,2.325137272,E_huxleyi
E_huxleyi_O494,Sample_Final,27.93336925,2.327780771,E_huxleyi
E_huxleyi_O494,Sample_Final,28.42797852,2.36899821,E_huxleyi
E_huxleyi_O494,Sample_Final,27.82170785,2.318475654,E_huxleyi
E_huxleyi_O495,Sample_Final,27.46959376,2.289132813,E_huxleyi
E_huxleyi_O495,Sample_Final,27.28459111,2.273715926,E_huxleyi
E_huxleyi_O499,Blank_Initial,28.83122846,2.402602371,E_huxleyi
E_huxleyi_O499,Blank_Initial,29.53697929,2.461414941,E_huxleyi
E_huxleyi_O499,Sample_Final,28.92588687,2.410490573,E_huxleyi
E_huxleyi_O499,Sample_Final,27.66449366,2.305374472,E_huxleyi
E_huxleyi_O500,Sample_Final,27.2183556,2.2681963,E_huxleyi
E_huxleyi_O500,Sample_Final,27.73174428,2.31097869,E_huxleyi
E_huxleyi_O501,Sample_Final,27.64228827,2.303524023,E_huxleyi
E_huxleyi_O501,Sample_Final,26.80647728,2.233873107,E_huxleyi
E_huxleyi_O501,Sample_Final,26.75229612,2.22935801,E_huxleyi
T_pseudo_O336,Blank_Initial,25.25958616,2.104965513,T_pseudo
T_pseudo_O336,Blank_Initial,24.8935144,2.074459533,T_pseudo
T_pseudo_O336,Sample_Final,24.46602886,2.038835738,T_pseudo
T_pseudo_O336,Sample_Final,24.77741191,2.064784326,T_pseudo
T_pseudo_O337,Sample_Final,25.31452865,2.109544054,T_pseudo
T_pseudo_O337,Sample_Final,24.8123061,2.067692175,T_pseudo
T_pseudo_O338,Sample_Final,25.14145347,2.095121123,T_pseudo
T_pseudo_O338,Sample_Final,24.74708569,2.062257141,T_pseudo
T_pseudo_O345,Sample_Final,24.44966031,2.037471693,T_pseudo
T_pseudo_O345,Sample_Final,25.05643854,2.088036545,T_pseudo
T_pseudo_O345,Sample_Final,24.79213092,2.06601091,T_pseudo
T_pseudo_O346,Sample_Final,24.24600514,2.020500428,T_pseudo
T_pseudo_O346,Sample_Final,24.70001026,2.058334188,T_pseudo
T_pseudo_O347,Sample_Final,24.76129714,2.063441429,T_pseudo
T_pseudo_O347,Sample_Final,25.0653207,2.088776725,T_pseudo
T_pseudo_O348,Sample_Final,27.71613706,2.309678089,T_pseudo
T_pseudo_O348,Sample_Final,27.46058471,2.288382059,T_pseudo
T_pseudo_O349,Sample_Final,27.45728563,2.288107136,T_pseudo
T_pseudo_O349,Sample_Final,27.00505694,2.250421411,T_pseudo
T_pseudo_O350,Sample_Final,28.969917,2.41415975,T_pseudo
T_pseudo_O350,Sample_Final,27.43533401,2.286277834,T_pseudo
T_pseudo_O350,Sample_Final,27.85114585,2.320928821,T_pseudo
T_pseudo_O348,Blank_Initial,28.78504124,2.398753436,T_pseudo
T_pseudo_O348,Blank_Initial,28.71614108,2.393011756,T_pseudo
T_pseudo_O348,Blank_Initial,28.9298204,2.410818367,T_pseudo
T_pseudo_O345,Blank_Initial,24.18750979,2.015625816,T_pseudo
T_pseudo_O345,Blank_Initial,24.00390291,2.000325243,T_pseudo
E_huxleyi_O480,Blank_Initial,26.50829057,2.209024215,E_huxleyi
E_huxleyi_O480,Blank_Initial,26.63467098,2.219555915,E_huxleyi
E_huxleyi_O480,Blank_Initial,27.29766057,2.274805048,E_huxleyi
E_huxleyi_O480,Blank_Initial,26.77767371,2.231472809,E_huxleyi
E_huxleyi_O479,Blank_Initial,26.93641055,2.244700879,E_huxleyi
E_huxleyi_O479,Blank_Initial,27.93057772,2.327548143,E_huxleyi
E_huxleyi_O479,Blank_Initial,28.58899934,2.382416612,E_huxleyi
E_huxleyi_O478,Blank_Initial,27.78782876,2.315652397,E_huxleyi
E_huxleyi_O478,Blank_Initial,27.24741294,2.270617745,E_huxleyi
E_huxleyi_O478,Blank_Initial,27.57110413,2.297592011,E_huxleyi
E_huxleyi_O548,Blank_Initial,27.40907494,2.284089578,E_huxleyi
E_huxleyi_O548,Sample_Final,26.03303036,2.169419197,E_huxleyi
T_pseudo_O399,Blank_Initial,25.73587388,2.144656157,T_pseudo
T_pseudo_O399,Sample_Final,26.03882907,2.169902423,T_pseudo
E_huxleyi_O560,Blank_Initial,29.45580039,2.454650032,E_huxleyi
E_huxleyi_O560,Sample_Final,28.54748186,2.378956822,E_huxleyi
E_huxleyi_O564,Blank_Initial,30.36980821,2.530817351,E_huxleyi
E_huxleyi_O564,Blank_Initial,30.47352851,2.53946071,E_huxleyi
E_huxleyi_O564,Sample_Final,29.26411476,2.43867623,E_huxleyi
E_huxleyi_O564,Sample_Final,29.27888506,2.439907088,E_huxleyi
E_huxleyi_O565,Sample_Final,28.22756818,2.352297349,E_huxleyi
E_huxleyi_O565,Sample_Final,28.41542447,2.367952039,E_huxleyi
E_huxleyi_O565,Sample_Final,28.39441783,2.366201486,E_huxleyi
E_huxleyi_O566,Sample_Final,28.71553501,2.392961251,E_huxleyi
E_huxleyi_O566,Sample_Final,28.53675972,2.37806331,E_huxleyi
E_huxleyi_O571,Blank_Initial,26.7272343,2.227269525,E_huxleyi
T_pseudo_O417,Blank_Initial,30.52768627,2.543973856,T_pseudo
T_pseudo_O417,Sample_Final,30.34431577,2.528692981,T_pseudo
T_pseudo_O418,Sample_Final,30.0153211,2.501276758,T_pseudo
T_pseudo_O418,Sample_Final,29.62636996,2.468864163,T_pseudo
T_pseudo_O419,Sample_Final,30.0792163,2.506601359,T_pseudo
T_pseudo_O419,Sample_Final,30.64595805,2.553829837,T_pseudo
T_pseudo_O419,Sample_Final,30.29354972,2.524462476,T_pseudo
T_pseudo_O422,Blank_Initial,29.92013474,2.493344562,T_pseudo
E_huxleyi_O571,Sample_Final,25.58970265,2.132475221,E_huxleyi
E_huxleyi_O575,Blank_Initial,30.99409941,2.582841617,E_huxleyi
T_pseudo_O422,Sample_Final,29.92834046,2.494028372,T_pseudo
T_pseudo_O425,Blank_Initial,26.11005472,2.175837894,T_pseudo
