Meaurement_DateTime,Culture_ID#,pH_NIST,pH_volt,pH_temp,pH_std_volt,Incubator.CO2.ppm.nominal,Growth_Time_Nominal_hours,sp
12/14/2024 10:45,E_huxleyi_O478,8.132,-49.2,21.3,-63.8,420,21.25,E_huxleyi
12/14/2024 10:45,E_huxleyi_O479,8.124,-49,21.2,-63.8,420,21.25,E_huxleyi
12/14/2024 10:45,E_huxleyi_O480,8.125,-48.8,21.2,-63.8,420,21.25,E_huxleyi
12/16/2024 1:00,E_huxleyi_O478,8.17,-53.3,21.1,-66.1,420,59.5,E_huxleyi
12/16/2024 1:00,E_huxleyi_O479,8.189,-52.2,21.2,-66.1,420,59.5,E_huxleyi
12/16/2024 1:00,E_huxleyi_O480,8.138,-49.5,21.2,-66.1,420,59.5,E_huxleyi
12/18/2024 10:45,E_huxleyi_O478,8.173,-51.8,20.7,-67.1,420,117.25,E_huxleyi
12/18/2024 10:45,E_huxleyi_O479,8.179,-52.1,20.7,-67.1,420,117.25,E_huxleyi
12/18/2024 10:45,E_huxleyi_O480,8.187,-52.5,20.7,-67.1,420,117.25,E_huxleyi
12/19/2024 10:00,E_huxleyi_O478,8.149,-51.6,20.9,-65.9,420,140.5,E_huxleyi
12/19/2024 10:00,E_huxleyi_O479,8.179,-52.5,21.1,-65.9,420,140.5,E_huxleyi
12/19/2024 10:00,E_huxleyi_O480,8.138,-50.9,21.3,-65.9,420,140.5,E_huxleyi
12/20/2024 9:45,E_huxleyi_O478,8.178,-54.4,20.8,-66.8,420,164.25,E_huxleyi
12/20/2024 9:45,E_huxleyi_O479,8.183,-54.7,21,-66.8,420,164.25,E_huxleyi
12/20/2024 9:45,E_huxleyi_O480,8.17,-54.1,21.2,-66.8,420,164.25,E_huxleyi
12/22/2024 14:07,E_huxleyi_O478,8.201,-52.9,22.1,-64.8,420,216.6197222,E_huxleyi
12/22/2024 14:07,E_huxleyi_O479,8.215,-55.4,21.9,-64.8,420,216.6197222,E_huxleyi
12/22/2024 14:07,E_huxleyi_O480,8.21,-54.4,21.9,-64.8,420,216.6197222,E_huxleyi
12/23/2024 16:00,E_huxleyi_O486,8.198,-48.3,21.5,-59.5,420,26,E_huxleyi
12/27/2024 11:00,E_huxleyi_O486,8.166,-49.9,21.3,-62.8,420,117,E_huxleyi
12/29/2024 16:00,E_huxleyi_O490,8.127,-47.9,21.2,-62.3,420,52,E_huxleyi
12/29/2024 16:00,E_huxleyi_O491,8.125,-47.9,21.2,-62.3,420,52,E_huxleyi
12/29/2024 16:00,E_huxleyi_O492,8.146,-48,21.2,-62.3,420,52,E_huxleyi
12/30/2024 10:25,E_huxleyi_O490,8.134,-51,21.2,-63.9,420,70.41666667,E_huxleyi
12/30/2024 10:25,E_huxleyi_O491,8.146,-51.2,21.1,-63.9,420,70.41666667,E_huxleyi
12/30/2024 10:25,E_huxleyi_O492,8.157,-52.3,21.2,-63.9,420,70.41666667,E_huxleyi
12/31/2024 10:10,E_huxleyi_O490,8.207,-61.2,21.9,-61.9,420,94.16666667,E_huxleyi
12/31/2024 10:10,E_huxleyi_O491,8.206,-57.2,21.9,-61.9,420,94.16666667,E_huxleyi
12/31/2024 10:10,E_huxleyi_O492,8.212,-54.2,21.9,-61.9,420,94.16666667,E_huxleyi
12/31/2024 10:10,E_huxleyi_O493,8.001,-41.1,21.9,-61.9,1135,44.16666667,E_huxleyi
12/31/2024 10:10,E_huxleyi_O494,7.889,-34.9,21.9,-61.9,1135,44.16666667,E_huxleyi
12/31/2024 10:10,E_huxleyi_O495,7.911,-35.5,21.9,-61.9,1135,44.16666667,E_huxleyi
1/1/2025 10:30,E_huxleyi_O490,8.194,-53.7,21.8,-63.1,420,118.5,E_huxleyi
1/1/2025 10:30,E_huxleyi_O491,8.152,-52.7,21.8,-63.1,420,118.5,E_huxleyi
1/1/2025 10:30,E_huxleyi_O492,8.177,-52.8,21.8,-63.1,420,118.5,E_huxleyi
1/2/2025 11:45,E_huxleyi_O493,7.832,-32.4,21.7,-61.8,1135,93.75,E_huxleyi
1/2/2025 11:45,E_huxleyi_O494,7.834,-33.8,21.7,-61.8,1135,93.75,E_huxleyi
